id,question,answer
1,How long do I have access to courses?,"You get lifetime access to the 5 R-Track Courses and BSU Community Slack Channel for support.

This means that you gain lifetime access to all course upgrades and improvements.

And you can communicate with me and 2,899+ students in our private slack channel for lifetime."
2,I'm a complete beginner. Can I start this program?,"No experience is required with the first R-Track Course. We walk you through getting R set up, installing the software, and we teach you the coding skills, the statistical / math skills, and teach you all of the algorithms you need to know... for solving business problems.

No math experience required.

No coding experience required.

No statistics experience required."
3,Can I get a job with R?,"Yes. R and Python are just tools. Companies pay $100,000+ salaries for business results.

Our students typically see 5X to 10X faster results using R vs Python. This means that you have a competitive advantage in the job market by learning R."
4,Who are these courses for?,"Our program is for students that want to make a measurable change in their careers by:

Becoming a Data Scientist,

Getting promoted to Senior Data Scientist,

Getting promoted to Lead/Principal Data Scientist,

Getting promoted to Data Analytics Manager, Data Science Manager and Director Positions,

Getting promoted to VP of Data Science or Chief Data Officer (CDO)"
5,Do you offer a money back guarantee?,"We would never want you to be unhappy. If you are unsatisfied with your course purchase, contact Business Science in the first 30 days and we will give you a full refund."
6,What is the price?,"Depending on your product selection, the pricing is listed on the course information page. See the Courses Tab for more information. "
7,Do you offer payment plans?,"Each course page has detailed information. If a payment plan is offered, it will be listed on the course page. "
8,Do you offer mentorship?,All R-Track and Production with Pythonc course purchases include access to our Private Slack Channel Community. We provide virtual support to help you when needed. 
9,How long are the courses?,Each course is 25 to 40 hours of video content. The R-Track is approximately 160 hours of video in total. 
10,How long will completing each course take?,Each course can be completed in 1 to 2 months with 5 to 10 hours per week of effort. The Full 5-Course R-Track can be completed in 6 months with 10 hours per week of effort. 
11,"How are these courses different than other ""Online Data Schools""?","Most online data schools run on subscription. They are inherently motivated to make you take longer to become a data scientist. They play tricks like gamification and only having you fill in part of an analysis (never completing the whole thing). This is why it takes 3+ years to feel confident. 

Business Science does the opposite. We provide a streamlined program that is integrated. You begin with the foundations. Then quickly progress to advanced analysis by completing end-to-end projects. This builds your skills much faster than the other ""Online Data Schools"". And this is why many of our students get jobs and promotions much faster. "
12,What is the average completion time given 5 Hours per day?,The full 5-Course R-Track can be completed in 6 to 12 months with 5 hours per week of effort. 
13,How many hours is the program?,The full 5-Course R-Track is approximately 160 hours of video. 
14,Is it lifetime access to the courses?,Yes. You get lifetime access to R-Track and Production Python Courses when you purchase. Learning Labs PRO is a subscription membership. 
15,What if I am already proficient in a topic?,It's still recommended to take the full 5-Course R-Track. It's important to solidify any skills you may have missed from other learning programs and self-teaching. 
16,How do we get access to the Slack Channel when we purchase a course?,A link to our private slack channel community is provided in the first section of each course. 
17,Can someone with no data analysis background get a job after taking this course?,"Yes. While we cannot guarantee results, our testimonials suggest that complete beginners with no experience can get a job in data analyst and data scientist. It is totally possible when you learn the skills. We do recommend not applying to jobs that require PhD level but rather entry roles. If you are transitioning from Senior-Levels, then we recommend going for Senior Data Analyst or Senior Data Scientist in the field that you have domain expertise in. "
18,Is the purchase lifetime if I just buy a single course?,Yes. All single course purchases are lifetime. Learning Labs PRO is the only exception if you opt for a subscription membership plan.
19,What is the difference between the R-Track and Learning Labs PRO?,The R-Track is a complete system where you transform into a Business Scientist. Learning Labs PRO is a useful addition as it gives you 80+ Labs which are projects and covers new topics since formation of the core curriculum. 
20,Why do you recommend R (when many jobs want Python)?,"When I was learning data science, I quit Python. I couldn't learn it. It was too much like coding. And I struggled. I then found R and I found it to be much better for Business Analysis. R was easier to set up, I could get results faster with the tidyverse, reporting was easier with Rmarkdown, plots were easier and looked better with ggplot2 and plotly, and shiny apps impressed companies (when I consulted companies would pay me $10,000 to $25,000 per app). So R provided a rich ecosystem to learn fast, help companies and get paid faster. "
