name,tooltip,link,
R for Data Science (Book),A free online book that covers data wrangling and visualization with libraries such as dplyr + tidyr + ggplot2.,http://r4ds.had.co.nz/,
Advanced R (Book),A free online book for R-programmers that want to improve their programming skills and understanding of the language.,http://adv-r.had.co.nz/,
R Packages (Book),A free online book for R-programmers that want to develop R packages for reproducibility and so others can use.,http://r-pkgs.had.co.nz/,
RStudio (IDE),The IDE that most R-programmers use. Its website has documentation & tutorials on various R-packages developed by RStudio.,https://www.rstudio.com/,
tidyverse (R),A set of packages that work in harmony because they share common data representations and API design. The packages are used extensively in our analysis.,https://www.tidyverse.org/,
Shiny (R),A tool for building interactive R web applications. Its website includes Documentation + Webinars + Tutorials + Articles.,http://shiny.rstudio.com/,
RMarkdown (R),Language for combining R with Markdown for incorporating R into reproducible reports and websites. Its website includes documentation and examples.,http://rmarkdown.rstudio.com/,
R Interface To TensorFlow (R),The R interface to TensorFlow lets you work productively using the high-level Keras and Estimator APIs,https://tensorflow.rstudio.com/,
R-Bloggers (Blog),R blog aggregator combining blogs from many advanced R users., https://www.r-bloggers.com,
RDocumentation (Search),'Searching R packages can be difficult. RDocumentation pools libraries from CRAN + Bioconductor + Github for search. Libraries are broken into task views (i.e. categories related to task). Users can search by measures such as download frequency.',http://www.rdocumentation.org/taskviews,
Intro to Statistical Learning (Book),A free book on many of the most popular statistics and machine learning tools with applications in R.,http://www-bcf.usc.edu/~gareth/ISL/,
Forecasting: Principles & Practice (Book),Free online book that covers forecasting in R.,https://www.otexts.org/book/fpp,
Tidy Text Mining with R (Book),A free online book focusing on text mining using the tidyverse principles,http://tidytextmining.com/,
